SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
ABGR3,Abutilon grandifolium,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,,Malvaceae,
ABGR4,Abelia ×grandiflora,Abelia ×grandiflora (Rovelli ex André) Rehder,glossy abelia,,Caprifoliaceae,
ABGU,Abies guatemalensis,Abies guatemalensis Rehder,Guatemalan fir,,Pinaceae,
ABHI,Abutilon hirtum,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,,Malvaceae,
ABHO,Abies homolepis,Abies homolepis Siebold & Zucc.,Nikko fir,,Pinaceae,
ABHU,Abutilon hulseanum,Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,mauve,,Malvaceae,
ABCO2,Abutilon commutatum,Abutilon commutatum auct. non K. Schum.,,,,
ABPA4,Abutilon pauciflorum,Abutilon pauciflorum Sweet,,,,
ABHY,Abutilon hypoleucum,Abutilon hypoleucum A. Gray,whiteleaf Indian mallow,,Malvaceae,
ABIES,Abies Mill.,Abies Mill.,fir,,Pinaceae,
ABIET,Abietinella Müll.,Abietinella Müll. Hal.,abietenella moss,,Thuidiaceae,
ABILD,Abildgaardia Vahl,Abildgaardia Vahl,sedge,,Cyperaceae,
ABIN,Abutilon incanum,Abutilon incanum (Link) Sweet,pelotazo,,Malvaceae,
ABINI,Abutilon incanum,Abutilon incanum (Link) Sweet ssp. incanum,,,,
ABINP,Abutilon incanum,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,,,
ABPR4,Abutilon pringlei,Abutilon pringlei Hochr.,,,,
ABIN2,Abronia insularis,Abronia insularis Standl.,island sand verbena,,Nyctaginaceae,
ABIN3,Abutilon indicum,Abutilon indicum (L.) Sweet,monkeybush,Monkeybush,Malvaceae,
ABINA,Abutilon indicum,Abutilon indicum (L.) Sweet ssp. albescens (Miq.) Borss. Waalk.,,Monkeybush,Malvaceae,
ABASA,Abutilon asiaticum,Abutilon asiaticum (L.) Sweet var. albescens (Miq.) Fosberg,,,,
ABLA,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Subalpine Fir,Pinaceae,
ABLA2,Abronia latifolia,Abronia latifolia Eschsch.,coastal sand verbena,,Nyctaginaceae,
ABLAA,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Subalpine Fir,Pinaceae,
ABAR2,Abies arizonica,Abies arizonica Merriam,,,,
ABLAL,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Subalpine Fir,Pinaceae,
ABBAF,Abies balsamea,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Balsam Fir,,
ABBAL,Abies balsamea,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Balsam Fir,,
ABBI3,Abies bifolia,Abies bifolia A. Murray bis,,Rocky Mountain Alpine Fir,,
ABLAB,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Subalpine Fir,,
ABLAB2,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Subalpine Fir,,
ABSU,Abies subalpina,Abies subalpina Engelmann,,,,
ABLO,Abies lowiana,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,,Pinaceae,
ABCOL,Abies concolor,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon,,,,
ABMA,Abies magnifica,Abies magnifica A. Murray bis,California red fir,,Pinaceae,
ABMA2,Abronia maritima,Abronia maritima Nutt. ex S. Watson,red sand verbena,,Nyctaginaceae,
ABMA3,Abutilon malacum,Abutilon malacum S. Watson,yellow Indian mallow,,Malvaceae,
ABMA5,Abronia macrocarpa,Abronia macrocarpa L.A. Galloway,largefruit sand verbena,,Nyctaginaceae,
ABMA8,Abutilon mauritianum,Abutilon mauritianum (Jacq.) Medik.,,,Malvaceae,
ABMA9,Abelmoschus manihot,Abelmoschus manihot (L.) Medik. [excluded],,,Malvaceae,
HIMA9,Hibiscus manihot,Hibiscus manihot L.,,,,
ABMAM,Abies magnifica,Abies magnifica A. Murray bis var. magnifica ,California red fir,,Pinaceae,
ABMAS,Abies magnifica,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir,,Pinaceae,
ABMAC,Abies magnifica,Abies magnifica A. Murray bis var. critchfieldii Lanner,,,,
ABMAS2,Abies magnifica,Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba,,,,
ABSH,Abies ×shastensis,Abies ×shastensis (Lemmon) Lemmon,,,,
ABME,Abronia mellifera,Abronia mellifera Douglas ex Hook.,white sand verbena,,Nyctaginaceae,
ABME2,Abutilon menziesii,Abutilon menziesii Seem.,ko'oloa 'ula,,Malvaceae,
ABME3,Abutilon megapotamicum,Abutilon megapotamicum (A. Spreng.) A. St.-Hil. & Naudin,trailing abutilon,,Malvaceae,
ABMI2,Abronia minor,Abronia minor Standl.,little sand verbena,,Nyctaginaceae,
ABMO,Abelmoschus moschatus,Abelmoschus moschatus Medik.,musk okra,Musk Okra,Malvaceae,
HIAB,Hibiscus abelmoschus,Hibiscus abelmoschus L.,,,,
ABMO2,Abutilon mollicomum,Abutilon mollicomum (Willd.) Sweet,Sonoran Indian mallow,,Malvaceae,
ABSO,Abutilon sonorae,Abutilon sonorae A. Gray,,,,
ABNA,Abronia nana,Abronia nana S. Watson,dwarf sand verbena,,Nyctaginaceae,
ABNAC,Abronia nana,Abronia nana S. Watson var. covillei (Heimerl) Munz,Coville's dwarf sand verbena,,Nyctaginaceae,
ABNAC2,Abronia nana,Abronia nana S. Watson ssp. covillei (Heimerl) Munz,,,,
ABNAH,Abronia nana,Abronia nana S. Watson var. harrisii S.L. Welsh,Harris' dwarf sand verbena,,Nyctaginaceae,
ABNAN,Abronia nana,Abronia nana S. Watson var. nana,dwarf sand verbena,,Nyctaginaceae,
ABNAL,Abronia nana,Abronia nana S. Watson var. lanciformis M.E. Jones,,,,
ABNE,Abronia neurophylla,Abronia neurophylla Standl.,beach sand verbena,,Nyctaginaceae,
ABOV,Abildgaardia ovata,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,Flat-Spike Sedge,Cyperaceae,FACW
ABMO4,Abildgaardia monostachya,Abildgaardia monostachya (L.) Vahl,,,,
CYMO10,Cyperus monostachyos,Cyperus monostachyos L.,,,,
FIMO2,Fimbristylis monostachya,Fimbristylis monostachya (L.) Hassk.,,,,
FIOV,Fimbristylis ovata,Fimbristylis ovata (Burm. f.) J. Kern,,,,
ABPA,Abutilon palmeri,Abutilon palmeri A. Gray,Palmer's Indian mallow,,Malvaceae,
ABPA2,Abutilon parishii,Abutilon parishii S. Watson,Parish's Indian mallow,,Malvaceae,
ABPA3,Abutilon parvulum,Abutilon parvulum A. Gray,dwarf Indian mallow,,Malvaceae,
ABPA5,Abrothallus parmeliarum,Abrothallus parmeliarum (Sommerf.) Arnold,parmelia abrothallus lichen,,Uncertain Ascomycota Family,
BUPA8,Buelliella parmeliarum,Buelliella parmeliarum (Sommerf.) Fink,,,,
ABPE,Abutilon permolle,Abutilon permolle (Willd.) Sweet,coastal Indian mallow,,Malvaceae,
ABPE2,Abrothallus peyritschii,Abrothallus peyritschii (Stein) Kotte,,,Uncertain Ascomycota Family,
ABPO,Abronia pogonantha,Abronia pogonantha Heimerl,Mojave sand verbena,,Nyctaginaceae,
ABPR,Abies procera,Abies procera Rehder,noble fir,Noble Fir,Pinaceae,
ABNO,Abies nobilis,Abies nobilis (Douglas ex D. Don) Lindl.,,,,
ABPR3,Abrus precatorius,Abrus precatorius L.,rosarypea,Rosary-Pea,Fabaceae,UPL
ABAB2,Abrus abrus,"Abrus abrus (L.) W. Wight, nom. inval.",,,,
ABPR5,Abrothallus prodiens,Abrothallus prodiens (Harm.) Diederich & Hafellner,,,Uncertain Ascomycota Family,
ABRE,Abutilon reventum,Abutilon reventum S. Watson,yellowflower Indian mallow,,Malvaceae,
ABROM,Abroma Jacq.,Abroma Jacq.,,,Sterculiaceae,
AMBRO2,Ambroma L.,"Ambroma L. f., orth. var.",,,,
ABRON,Abronia Juss.,Abronia Juss.,sand verbena,,Nyctaginaceae,
ABROT,Abrothallus De,Abrothallus De Not.,abrothallus lichen,,Uncertain Ascomycota Family,
ABRUS,Abrus Adans.,Abrus Adans.,abrus,,Fabaceae,
ABSA2,Abutilon sandwicense,Abutilon sandwicense (O. Deg.) Christoph.,greenflower Indian mallow,,Malvaceae,
ABSA4,Abortopetalum sandwicense,Abortopetalum sandwicense O. Deg.,,,,
ABSAW,Abutilon sandwicense,Abutilon sandwicense (O. Deg.) Christoph. var. welchii Christoph.,,,,
ABSCO,Absconditella Vezda,Absconditella Vezda,absconditella lichen,,Stictidaceae,
ABSP,Absconditella sphagnorum,Absconditella sphagnorum Vezda & Poelt,sphagnum absonditella lichen,,Stictidaceae,
ABTH,Abutilon theophrasti,Abutilon theophrasti Medik.,velvetleaf,Velvetleaf,Malvaceae,FACU
ABAB3,Abutilon abutilon,"Abutilon abutilon (L.) Rusby, nom. inval.",,,,
ABAV,Abutilon avicennae,Abutilon avicennae Gaertn.,,,,
ABTH2,Abutilon thurberi,Abutilon thurberi A. Gray,Thurber's Indian mallow,,Malvaceae,
ABTR,Abutilon trisulcatum,Abutilon trisulcatum (Jacq.) Urb.,anglestem Indian mallow,,Malvaceae,
ABTR2,Abutilon triquetrum,Abutilon triquetrum (L.) Sweet,,,,
ABTR3,Absconditella trivialis,Absconditella trivialis (Willey ex Tuck.) Vezda,trivial absconditella lichen,,Stictidaceae,
ABTU,Abronia turbinata,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,,Nyctaginaceae,
ABEX,Abronia exalata,Abronia exalata Standl.,,,,
ABOR2,Abronia orbiculata,Abronia orbiculata Standl.,,,,
ABUM,Abronia umbellata,Abronia umbellata Lam.,pink sand verbena,,Nyctaginaceae,
ABUMB,Abronia umbellata,Abronia umbellata Lam. ssp. breviflora (Standl.) Munz,pink sand verbena,,Nyctaginaceae,
ABAC,Abronia acutalata,Abronia acutalata Standl.,,,,
ABBR2,Abronia breviflora,Abronia breviflora Standl.,,,,
ABUMA2,Abronia umbellata,Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett,,,,
ABUMA3,Abronia umbellata,Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.,,,,
ABUMU,Abronia umbellata,Abronia umbellata Lam. ssp. umbellata,pink sand verbena,,Nyctaginaceae,
ABAL2,Abronia alba,Abronia alba Eastw.,,,,
ABPL,Abronia platyphylla,Abronia platyphylla Standl.,,,,
ABUMA4,Abronia umbellata,Abronia umbellata Lam. ssp. alba (Eastw.) Munz,,,,
ABUMP,Abronia umbellata,Abronia umbellata Lam. ssp. platyphylla (Standl.) Munz,,,,
ABUMV,Abronia umbellata,Abronia umbellata Lam. ssp. variabilis (Standl.) Munz,,,,
ABVA,Abronia variabilis,Abronia variabilis Standl.,,,,
ABUTI,Abutilon Mill.,Abutilon Mill.,Indian mallow,,Malvaceae,
ABVE2,Abies veitchii,Abies veitchii Lindl.,Christmastree,,Pinaceae,
ABVI,Abronia villosa,Abronia villosa S. Watson,desert sand verbena,,Nyctaginaceae,
ABVIA,Abronia villosa,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena,,Nyctaginaceae,
ABPI2,Abronia pinetorum,Abronia pinetorum Abrams,,,,
ABVIV,Abronia villosa,Abronia villosa S. Watson var. villosa,desert sand verbena,,Nyctaginaceae,
ABWE,Abrothallus welwitschii,Abrothallus welwitschii Tul.,,,Uncertain Ascomycota Family,
ABWR,Abutilon wrightii,Abutilon wrightii A. Gray,Wright's Indian mallow,,Malvaceae,
ACAC,Acleisanthes acutifolia,Acleisanthes acutifolia Standl.,needletip trumpets,,Nyctaginaceae,
ACAC10,Acacia acuminata,Acacia acuminata Benth.,,,Fabaceae,
ACAC7,Acacia acinacea,Acacia acinacea Lindl.,gold-dust acacia,,Fabaceae,
ACCY3,Acacia cyclophylla,Acacia cyclophylla Schltdl.,,,,
ACAC8,Acacia aciphylla,Acacia aciphylla Benth.,,,Fabaceae,
ACAC9,Acacia aculeatissima,Acacia aculeatissima J.F. Macbr.,,,Fabaceae,
ACACI,Acacia Mill.,Acacia Mill.,acacia,,Fabaceae,
ACACI2,Acaciella Britton,Acaciella Britton & Rose,,,Fabaceae,
ACAD,Acacia adunca,Acacia adunca A. Cunn. ex G. Don,Wallangarra wattle,,Fabaceae,
ACAC6,Acacia accola,Acacia accola Maiden & Betche,,,,
ACAE,Acarospora aeruginosa,Acarospora aeruginosa Hasse,cracked lichen,,Acarosporaceae,
ACAE2,Achillea aegyptiaca,Achillea aegyptiaca L.,,,Asteraceae,
ACTA3,Achillea taygetea,Achillea taygetea Boiss. & Heldr.,,,,
ACAEN,Acaena Mutis,Acaena Mutis ex L.,acaena,,Rosaceae,
ACAG,Achillea ageratifolia,Achillea ageratifolia (Sm.) Boiss.,yarrow,,Asteraceae,
ACAG3,Achillea ageratum,Achillea ageratum L.,sweet-Nancy,,Asteraceae,
ACAL13,Acarospora albomarginata,Acarospora albomarginata (Herre) Salisb.,cracked lichen,,Acarosporaceae,
THAL6,Thelocarpon albomarginatum,Thelocarpon albomarginatum Herre,,,,
ACAL16,Acacia alata,Acacia alata R. Br.,winged wattle,,Fabaceae,
ACAL17,Achillea alpina,Achillea alpina L.,Chinese yarrow,,Asteraceae,
ACAL2,Acalypha alopecuroidea,Acalypha alopecuroidea Jacq.,foxtail copperleaf,,Euphorbiaceae,
ACAR17,Acalypha aristata,Acalypha aristata Kunth,,,,
ACALY,Acalypha L.,Acalypha L.,copperleaf,,Euphorbiaceae,
ACAM,Acorus americanus,Acorus americanus (Raf.) Raf.,sweetflag,Several-Vein Sweetflag,Acoraceae,OBL
ACCA10,Acorus calamus,Acorus calamus auct. non L.,,Single-Vein Sweetflag,,OBL
ACCAA2,Acorus calamus,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Single-Vein Sweetflag,,OBL
ACAM2,Acalypha amentacea,Acalypha amentacea Roxb.,catch me if you can,Match-Me-If-You-Can,Euphorbiaceae,FAC
ACAM5,Acarospora americana,Acarospora americana H. Magn.,American cracked lichen,,Acarosporaceae,
ACAM7,Acarospora amphibola,Acarospora amphibola Wedd.,,,Acarosporaceae,
ACAM8,Acroceras amplectens,Acroceras amplectens Stapf,acroceras,,Poaceae,
ACAM9,Acacia ampliceps,Acacia ampliceps Maslin,acacia,,Fabaceae,
ACAMH,Acalypha amentacea,Acalypha amentacea Roxb. var. heterotricha Fosberg,,Match-Me-If-You-Can,Euphorbiaceae,FAC
ACAMP,Acamptopappus (A.,Acamptopappus (A. Gray) A. Gray,goldenhead,,Asteraceae,
ACAMP2,Acalypha amentacea,Acalypha amentacea Roxb. var. palauensis Fosberg,,Match-Me-If-You-Can,Euphorbiaceae,FAC
ACAN10,Acacia aneura,Acacia aneura F. Muell. ex Benth.,mulga,,Fabaceae,
ACAN11,Acaciella angustissima,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,,Fabaceae,
ACAN,Acacia angustissima,Acacia angustissima (Mill.) Kuntze,,,,
ACAN2,Acleisanthes anisophylla,Acleisanthes anisophylla A. Gray,obliqueleaf trumpets,,Nyctaginaceae,
ACAN8,Aconitum anthora,Aconitum anthora L.,yellow monkshood,,Ranunculaceae,
ACANC3,Acaciella angustissima,Acaciella angustissima (Mill.) Britton & Rose var. chisosiana (Isely) B.L. Turner,Chisos prairie acacia,,Fabaceae,
ACANC,Acacia angustissima,Acacia angustissima (Mill.) Kuntze var. chisosiana Isely,,,,
