ScientificName,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,CommonName
Abelmoschus moschatus,,,UPL,,,FAC,,,,,Musk Okra
Abies amabilis,,FACU,,,,,,,FACU,UPL,Pacific Silver Fir
Abies balsamea,,,,FAC,FAC,,FACW,FAC,,,Balsam Fir
Abies bifolia,,FACU,,,,,,,FACU,,Rocky Mountain Alpine Fir
Abies fraseri,,,,FACU,,,,FACU,,,Fraser's Fir
Abies grandis,,FACU,,,,,,,FACU,,Grand Fir
Abies lasiocarpa,,FACU,,,,,,,FACU,UPL,Subalpine Fir
Abies procera,,FACU,,,,,,,FACU,,Noble Fir
Abildgaardia ovata,FACW,,FAC,,,FACW,,,,,Flat-Spike Sedge
Abrus precatorius,UPL,,UPL,,,FAC,,,,,Rosary-Pea
Abutilon auritum,,,,,,FACU,,,,,Asian Indian-Mallow
Abutilon indicum,,,UPL,,,FAC,,,,,Monkeybush
Abutilon theophrasti,FACU,UPL,,UPL,UPL,,FACU,FACU,FACU,,Velvetleaf
Acacia confusa,,,,,,FACU,,,,,Small Philippine Wattle
Acaena exigua,,,,,,OBL,,,,,Liliwai
Acalypha amentacea,FAC,,UPL,,,FACU,,,,,Match-Me-If-You-Can
Acalypha bisetosa,,,FACW,,,,,,,,Streambank Copperleaf
Acalypha gracilens,FAC,,,FAC,FAC,,FACU,FACU,,,Slender Three-Seed-Mercury
Acalypha poiretii,FACU,,UPL,FACU,FACU,UPL,,FACU,,,Poiret's Copperleaf
Acalypha rhomboidea,FAC,,,FACU,FACU,,FACU,FACU,FACU,,Common Three-Seed-Mercury
Acalypha virginica,FACU,,,FACU,FACU,,FACU,FACU,,,Virginia Three-Seed-Mercury
Acanthocereus tetragonus,FAC,,UPL,,FACU,UPL,,,,,Triangle Cactus
Acanthomintha ilicifolia,,FAC,,,,,,,,,San Diego Thorn-Mint
Acer circinatum,,FAC,,,,,,FAC,FAC,FAC,Vine Maple
Acer glabrum,,FAC,,,FAC,,FAC,,FACU,FACU,Rocky Mountain Maple
Acer grandidentatum,,FACU,,,FAC,,,,FACU,,Canyon Maple
Acer macrophyllum,,FAC,,,,,,,FACU,,Big-Leaf Maple
Acer negundo,FAC,FACW,,FAC,FAC,,FAC,FAC,FAC,,Ash-Leaf Maple
Acer nigrum,UPL,,,FACU,,,FACU,FACU,,,Black Maple
Acer pensylvanicum,FACU,,,FACU,,,FACU,FACU,,,Striped Maple
Acer platanoides,UPL,UPL,,UPL,UPL,,UPL,UPL,FACU,,Norway Maple
Acer rubrum,FAC,,,FAC,FAC,,FAC,FAC,FAC,,Red Maple
Acer saccharinum,FAC,FAC,,FACW,FAC,,FACW,FACW,FAC,,Silver Maple
Acer saccharum,FACU,FACU,,FACU,UPL,,FACU,FACU,FACU,,Sugar Maple
Acer spicatum,UPL,,,FACU,FACU,,FACU,FACU,,,Mountain Maple
Achillea millefolium,FACU,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Common Yarrow
Achillea ptarmica,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,FACU,Pearl Yarrow
Achnatherum diegoense,,FACW,,,,,,,,,San Diego Rice Grass
Achnatherum hymenoides,,UPL,,,FACU,,FACU,FACU,UPL,,Indian Rice Grass
Achnatherum nelsonii,,FACU,,,UPL,,UPL,,UPL,,Nelson's Rice Grass
Achnatherum richardsonii,,UPL,,,FACU,,,,UPL,FACU,Richardson's Rice Grass
Achyrachaena mollis,,FAC,,,,,,,FAC,,Blow-Wives
Achyranthes aspera,UPL,,UPL,UPL,UPL,FAC,,,,,Devil's-Horsewhip
Achyranthes bidentata,,,,,,FACU,,,,,Nui Xi
Acisanthera quadrata,,,OBL,,,,,,,,Camasey-de-Charco
Acmella iodiscaea,,,OBL,,,,,,,,Maluco
Acmella repens,FACW,,,FACW,FACW,,FACW,,,,Opposite-Leaf Spotflower
Acmispon americanus,FACU,UPL,,FACU,FACU,,FACU,FACU,FACU,,American Deerweed
Acnistus arborescens,,,FACU,,,,,,,,Hollowheart
Acoelorrhaphe wrightii,OBL,,,,,,,,,,Everglades Palm
Aconitum columbianum,,FACW,,,FACW,,,,FACW,,Columbian Monkshood
Aconitum delphiniifolium,,,,,,,,,,FAC,Larkspur-Leaf Monkshood
Aconitum infectum,,FACW,,,,,,,OBL,,Arizona Monkshood
Aconitum noveboracense,,,,,,,FACW,FAC,,,Northern Blue Monkshood
Aconitum reclinatum,,,,FAC,,,,,,,Trailing White Monkshood
Aconitum uncinatum,FAC,,,FAC,,,FAC,FAC,,,Southern Blue Monkshood
Aconogonon alaskanum,,,,,,,,,,FAC,Alaska Fleeceflower
Aconogonon phytolaccifolium,,FAC,,,,,,,FAC,,Alpine Fleeceflower
Acorus americanus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Several-Vein Sweetflag
Acorus calamus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Single-Vein Sweetflag
Acrostichum aureum,OBL,,OBL,,,OBL,,,,,Golden Leather Fern
Acrostichum danaeifolium,OBL,,OBL,,,,,,,,Inland Leather Fern
Actaea laciniata,,,,,,,,,FACW,,Mt. Hood Bugbane
Actaea pachypoda,FACU,,,UPL,,,FACU,UPL,,,White Baneberry
Actaea podocarpa,,,,FACU,,,FAC,,,,Mountain Bugbane
Actaea rubra,UPL,FAC,,UPL,FACU,,FACU,FACU,FACU,FAC,Red Baneberry
Actinostachys pennula,FAC,,FAC,,,,,,,,Ray Fern
Adenanthera pavonina,UPL,,UPL,,,FACU,,,,,Red Beadtree
Adenophorus pinnatifidus,,,,,,FACU,,,,,Graceful Kihi Fern
Adenostemma lavenia,,,,,,FACW,,,,,Common Medicine-Plant
Adenostemma verbesina,,,FACW,,,,,,,,Tropical Medicine-Plant
Adiantum aleuticum,FAC,FAC,,FAC,FAC,,,FACU,FAC,FAC,Aleutian Maidenhair
Adiantum capillus-veneris,FACU,FACW,FACW,FACU,FACW,FACU,FACU,,FACW,,Southern Maidenhair
Adiantum jordanii,,FAC,,,,,,,FAC,,California Maidenhair
Adiantum latifolium,,,FAC,,,,,,,,Broad-Leaf Maidenhair
Adiantum macrophyllum,,,FACW,,,,,,,,Large-Leaf Maidenhair
Adiantum obliquum,,,FACU,,,,,,,,Oblique Maidenhair
Adiantum pedatum,FACU,,,FAC,FAC,,FACU,FACU,FAC,,Northern Maidenhair
Adiantum petiolatum,,,FAC,,,,,,,,Stalked Maidenhair
Adiantum pulverulentum,,,FACU,,,,,,,,Glossy Maidenhair
Adiantum raddianum,,,,,,FAC,,,,,Delta Maidenhair
Adiantum tenerum,FAC,,FACU,,,FACU,,,,,Brittle Maidenhair
Adiantum tricholepis,,,,,FAC,,,,,,Fuzzy Maidenhair
Adiantum wilsonii,,,FAC,,,,,,,,Wilson's Maidenhair
Adoxa moschatellina,,FAC,,,FAC,,FAC,FAC,FAC,FAC,Muskroot
Aegopodium podagraria,FACW,FAC,,FACU,,,FAC,FAC,FACU,,Bishop's Goutweed
Aeschynomene americana,FAC,,FAC,FAC,,,,,,,Shyleaf
Aeschynomene evenia,,,FAC,,,,,,,,Shrubby Joint-Vetch
Aeschynomene gracilis,,,FAC,,,,,,,,Puerto Rico Joint-Vetch
Aeschynomene indica,FACW,,FACW,FACW,FACW,,,,,,Indian Joint-Vetch
Aeschynomene pratensis,OBL,,,,,,,,,,Meadow Joint-Vetch
Aeschynomene sensitiva,,,OBL,,,,,,,,Sensitive Joint-Vetch
Aeschynomene virginica,FACW,,,OBL,,,,,,,Virginia Joint-Vetch
Aeschynomene virginica,OBL,,,,,,,,,,Virginia Jointvetch
Aesculus flava,FACU,,,FACU,,,FACU,FACU,,,Yellow Buckeye
Aesculus glabra,FACU,,,FACU,FAC,,FAC,FAC,,,Ohio Buckeye
Aesculus pavia,FACU,,,FAC,FAC,,FAC,,,,Red Buckeye
Aesculus sylvatica,FAC,,,FAC,,,,,,,Painted Buckeye
Agalinis aphylla,FACW,,,FACW,,,,,,,Scale-Leaf False Foxglove
Agalinis aspera,FACU,,,FACU,FACU,,FACU,FACU,,,Tall False Foxglove
Agalinis calycina,,OBL,,,OBL,,,,OBL,,Leoncita False Foxglove
Agalinis divaricata,FACU,,,,,,,,,,Pineland False Foxglove
Agalinis fasciculata,FAC,,FACU,FAC,FAC,,FAC,FAC,,,Beach False Foxglove
Agalinis filicaulis,FAC,,,,,,,,,,Jackson False Foxglove
Agalinis filifolia,FACU,,,,,,,,,,Seminole False Foxglove
Agalinis flexicaulis,FACW,,,,,,,,,,Hampton False Foxglove
Agalinis georgiana,FAC,,,,,,,,,,Georgia False Foxglove
Agalinis harperi,FAC,,,,,,,,,,Coastal-Plain False Foxglove
Agalinis heterophylla,FACU,,,FACU,FAC,,FAC,,,,Prairie False Foxglove
Agalinis linifolia,OBL,,,FACW,,,,,,,Flax-Leaf False Foxglove
Agalinis maritima,OBL,,,FACW,OBL,,,FACW,,,Saltmarsh False Foxglove
Agalinis obtusifolia,FAC,,,FACU,,,,,,,Ten-Lobe False Foxglove
Agalinis oligophylla,FAC,,,FAC,,,,,,,Ridge-Stem False Foxglove
Agalinis paupercula,FACW,,,FACW,FAC,,OBL,OBL,,,Small-Flower False Foxglove
Agalinis pulchella,FACW,,,,,,,,,,St. Mark's False Foxglove
Agalinis purpurea,FACW,,FACW,FACW,FACW,,FACW,FACW,,,Purple False Foxglove
Agalinis skinneriana,FACU,,,FACU,FACU,,FACU,FACU,,,Skinner's False Foxglove
Agalinis tenella,OBL,,,FACW,,,,,,,_?_
Agalinis tenuifolia,FACU,FACW,,FAC,FAC,,FACW,FACW,FAC,,Slender-Leaf False Foxglove
Agarista populifolia,FACW,,,OBL,,,,FACW,,,Florida-Hobblebush
Agastache nepetoides,FAC,,,FACU,FACU,,FACU,FACU,,,Yellow Giant-Hyssop
Agastache urticifolia,,FACU,,,,,,,FACU,,Nettle-Leaf Giant-Hyssop
Agave americana,UPL,UPL,UPL,,UPL,UPL,,,,,American Century-Plant
Agave sisalana,UPL,UPL,UPL,,,FACU,,,,,Sisal-Hemp
Ageratina adenophora,,FACU,,,,FACU,,,FACU,,Crofton Weed
Ageratina altissima,FACU,,,FACU,UPL,,FACU,FACU,FACU,,White Snakeroot
Ageratina jucunda,FACU,,,FACU,,,,,,,Hammock Snakeroot
Ageratina riparia,,,,,,FACU,,,,,Spreading Snakeroot
Ageratum conyzoides,FACU,FACU,FACU,FACU,,FAC,FACU,FACU,,,Tropical Whiteweed
Ageratum houstonianum,FACU,FACU,,FACU,FACU,FACU,,FACU,,,Bluemink
Aglaonema commutatum,FACU,,UPL,,,FACU,,,,,Philippine-Evergreen
Agoseris X agrestis,,FAC,,,UPL,,,,UPL,,_?_
Agoseris X elata,,FAC,,,,,,,FAC,,_?_
Agoseris aurantiaca,,FAC,,,,,,,FACU,FAC,Orange-Flower Goat-Chicory
Agoseris glauca,,FACU,,,FACU,,FACU,FACU,FAC,FAC,Pale Goat-Chicory
Agoseris monticola,,FAC,,,,,,,UPL,,_?_
Agoseris parviflora,,FACU,,,UPL,,,,UPL,,Small-Flower Goat-Chicory
Agrimonia gryposepala,FACU,FAC,,FACU,FAC,,FACU,FACU,FACW,,Tall Hairy Grooveburr
Agrimonia parviflora,FAC,FAC,,FACW,FACW,,FACW,FAC,FACW,,Harvestlice
Agrimonia rostellata,FAC,,,FACU,FAC,,FACU,FACU,,,Beaked Grooveburr
Agrimonia striata,UPL,FACU,,FACU,FACU,,FACU,FACU,FACU,,Woodland Grooveburr
Agrostis canina,FACU,,,FACU,,FACU,UPL,UPL,UPL,,Velvet Bent
Agrostis capillaris,FAC,FAC,,FAC,FAC,UPL,FAC,FAC,FAC,FACU,Colonial Bent
Agrostis clavata,,,,,,,,,,OBL,Clubbed Bent
Agrostis elliottiana,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Elliott's Bent
Agrostis exarata,,FACW,,FACW,FACW,FACW,,FAC,FACW,FACW,Spiked Bent
Agrostis gigantea,FACW,FACW,,FACW,FACW,,FACW,FACW,FAC,FAC,Black Bent
Agrostis hendersonii,,FACW,,,,,,,FACW,,Henderson's Bent
Agrostis hyemalis,FAC,FACW,FACW,FAC,FACW,FAC,FAC,FAC,FACW,,Winter Bent
Agrostis idahoensis,,FACW,,,FACW,,,,FACW,FACW,Idaho Bent
Agrostis lacuna-vernalis,,FACW,,,,,,,,,_?_
Agrostis mertensii,FACU,FACU,,FACU,FACU,,,FACU,FACU,FACU,Northern Bent
Agrostis microphylla,,FACW,,,,,,,FACW,,Small-Leaf Bent
Agrostis oregonensis,,FACW,,,,,,,FAC,,Oregon Bent
Agrostis pallens,,FACU,,,,,,UPL,UPL,,Seashore Bent
Agrostis pauzhetica,,FACU,,,,,,,FACU,,Thermal Bent
Agrostis perennans,FACU,FAC,,FACU,FAC,,FAC,FACU,FACW,,Upland Bent
Agrostis rossiae,,FAC,,,,,,,UPL,,Ross' Bent
Agrostis sandwicensis,,,,,,FACU,,,,,Hawaii Bent
Agrostis scabra,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,FAC,Rough Bent
Agrostis stolonifera,FACW,FACW,,FACW,FACW,FACU,FACW,FACW,FAC,FAC,Spreading Bent
Agrostis vinealis,,,,,,,,,,FAC,Brown Bent
Ailanthus altissima,FACU,FACU,,FACU,FACU,FACU,FACU,UPL,FACU,,Tree-of-Heaven
Aira caryophyllea,FAC,FACU,,FAC,FACU,FACU,FACU,UPL,FACU,FAC,Common Silver-Hair Grass
Albizia lebbeck,UPL,,UPL,,UPL,FACU,,,,,Woman's-Tongue
Alchornea latifolia,,,FACU,,,,,,,,Achiotillo
Alectra fluminensis,,,OBL,,,,,,,,Yerba-de-Hierro
Aletris aurea,FACW,,,FACW,FACW,,,,,,Golden Colicroot
Aletris bracteata,FACU,,,,,,,,,,Bracted Colicroot
Aletris farinosa,FAC,FAC,,FAC,FAC,,FAC,FAC,,,White Colicroot
Aletris lutea,FACW,,,FACW,,,,,,,Yellow Colicroot
Aletris obovata,FAC,,,,,,,,,,Southern Colicroot
Aleurites moluccanus,UPL,,UPL,,,FACU,,,,,Indian-Walnut
Alhagi maurorum,FAC,FAC,,FAC,FAC,,,,FAC,,Camelthorn
Aliciella pinnatifida,,FACU,,,FAC,,,,FAC,,Sticky Cheat Gily-Flower
Alisma gramineum,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Narrow-Leaf Water-Plantain
Alisma lanceolatum,,OBL,,,,,,,OBL,,Lance-Leaf Water-Plantain
Alisma plantago-aquatica,,,,,,,,OBL,OBL,OBL,European Water-Plantain
Alisma subcordatum,OBL,,,OBL,OBL,,OBL,OBL,OBL,,American Water-Plantain
Alisma triviale,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Northern Water-Plantain
Allenrolfea occidentalis,,FACW,,,FACW,,,,FACW,,Iodinebush
Alliaria petiolata,FACU,FACU,,FACU,FACU,,FAC,FACU,FACU,FACU,Garlic-Mustard
Allium bisceptrum,,FACU,,,FACU,,,,FAC,,Aspen Onion
Allium canadense,FACU,,,FACU,FACU,,FACU,FACU,FACU,,Meadow Garlic
Allium cernuum,FACU,FACU,,FACU,UPL,,FACU,FACU,FACU,,Nodding Onion
Allium douglasii,,FAC,,,,,,,FAC,,Douglas' Onion
Allium geyeri,,FACU,,,FACU,,,,FACU,,Geyer's Onion
Allium hickmanii,,FACU,,,,,,,,,Hickman's Onion
Allium hyalinum,,FACU,,,,,,,FAC,,Glassy Onion
Allium lemmonii,,FACU,,,,,,,FACU,,Claybank Onion
Allium madidum,,OBL,,,,,,,OBL,,Swamp Onion
Allium schoenoprasum,FACU,FACW,,FACU,FACU,,FAC,FACU,FACW,FAC,Wild Chives
Allium tricoccum,FACU,,,FACU,FACU,,FACU,FACU,,,Ramp
Allium validum,,OBL,,,,,,,OBL,,Tall Swamp Onion
Allium vineale,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,UPL,Crow Garlic
Allolepis texana,,FAC,,,FAC,,,,,,Texas-Salt
Allophyllum gilioides,,FAC,,,,,,,FAC,,Dense False Gily-Flower
Almutaster pauciflorus,,FACW,,,FACW,,,,FACW,,Marsh-Aster
Alnus glutinosa,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,European Alder
Alnus incana,FACU,FACW,,FACU,FACW,,FACW,FACW,FACW,FAC,Speckled Alder
Alnus maritima,OBL,,,OBL,OBL,,,,,,Seaside Alder
Alnus oblongifolia,,FACW,,,FACW,,,,FACW,,Arizona Alder
Alnus rhombifolia,,FACW,,,,,,,FACW,,White Alder
Alnus rubra,,FACW,,,,,,,FAC,FAC,Red Alder
Alnus serrulata,FACW,,,OBL,OBL,,OBL,OBL,,,Brookside Alder
Alnus viridis,,FACW,,FAC,FAC,,FAC,FAC,FACW,FAC,Sitka Alder
Alocasia cucullata,,,,,,FACU,,,,,Chinese Taro
Alocasia macrorrhizos,FACW,FACW,FACW,FACW,FACW,FAC,,,,,Giant Taro
Alopecurus aequalis,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Short-Awn Meadow-Foxtail
Alopecurus arundinaceus,,FAC,,FACW,FACW,,FACW,,FAC,,Creeping Meadow-Foxtail
Alopecurus carolinianus,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,Tufted Meadow-Foxtail
Alopecurus geniculatus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Marsh Meadow-Foxtail
Alopecurus magellanicus,,FACW,,,FACW,,,,FACW,FACW,Alpine Meadow-Foxtail
Alopecurus myosuroides,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,Slender Meadow-Foxtail
Alopecurus pratensis,FAC,FACW,,FACW,FACW,,FACW,FAC,FAC,FACW,Field Meadow-Foxtail
Alopecurus saccatus,,OBL,,,,,,,FACW,,Pacific Meadow-Foxtail
Alophia drummondii,FACU,,,FACU,FACU,,,,,,Propeller-Flower
Alpinia purpurata,,,UPL,,,FACU,,,,,Red-Ginger
Alpinia zerumbet,UPL,,FACU,,,FACU,,,,,Shellplant
Alsophila amintae,,,FACW,,,,,,,,Forest Alsophila
Alsophila brooksii,,,FAC,,,,,,,,Brooks' Alsophila
Alsophila bryophila,,,FACW,,,,,,,,Helecho-Gigante-de-la-Sierra
Alsophila portoricensis,,,FACW,,,,,,,,Puerto Rico Alsophila
Alternanthera ficoidea,FACU,,FACU,,FACU,FACU,,,,,Sanguinaria
Alternanthera maritima,FACW,,,,,,,,,,Seaside Joyweed
Alternanthera paronychioides,OBL,,FAC,OBL,OBL,,,,,,Smooth Joyweed
Alternanthera philoxeroides,OBL,OBL,OBL,OBL,OBL,,OBL,,OBL,,Alligator-Weed
Alternanthera sessilis,OBL,,FAC,FAC,,FAC,,,,,Sessile Joyweed
Althaea officinalis,FACW,,,FACW,FACW,,FACW,FAC,,,Common Marsh-Mallow
Alysicarpus vaginalis,FAC,,FAC,,,UPL,,,,,White Moneywort
Alyxia stellata,,,,,,FACU,,,,,Maile
Amaranthus X texensis,,,,,FACW,,,,,,_?_
Amaranthus acanthochiton,FACU,FACU,,,FACU,,,,FACU,,Greenstripe
Amaranthus albus,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,FACU,Tumbleweed
Amaranthus arenicola,FACU,FACU,,UPL,FACU,,FACU,FACU,FAC,,Sandhill Amaranth
Amaranthus australis,OBL,,OBL,OBL,OBL,,,,,,Southern Amaranth
Amaranthus blitoides,FAC,FACU,,FAC,FAC,UPL,FACU,FACU,FAC,UPL,Mat Amaranth
Amaranthus blitum,FACU,FAC,UPL,FACU,FACU,FACU,FAC,FACU,FACU,,Purple Amaranth
Amaranthus californicus,,FACW,,,FACW,,FACW,,FACW,,California Amaranth
Amaranthus cannabinus,OBL,,,OBL,,,,OBL,,,Tidal-Marsh Amaranth
Amaranthus crassipes,FAC,FAC,FACU,FAC,FAC,,,FAC,FAC,,Spreading Amaranth
Amaranthus floridanus,OBL,,,,,,,,,,Florida Amaranth
Amaranthus graecizans,FACU,,,FACU,,,,FACU,,,Italian-Spinach
Amaranthus greggii,FAC,,,,FAC,,,,,,Josiah Amaranth
Amaranthus obcordatus,,FACU,,,FACU,,,,FACU,,Trans-Pecos Amaranth
Amaranthus palmeri,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Careless Weed
Amaranthus pumilus,FACW,,,FACW,,,,FACW,,,Seaside Amaranth
Amaranthus retroflexus,FAC,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,UPL,Red-Root
Amaranthus spinosus,FACU,FACU,FACU,FACU,FACU,FACU,FACU,FACU,FACU,,Spiny Amaranth
Amaranthus tricolor,UPL,,UPL,UPL,,,UPL,FACU,,,Joseph's-Coat
Amaranthus tuberculatus,FACW,FACW,,FACW,FAC,,OBL,OBL,OBL,,Rough-Fruit Amaranth
Amaranthus viridis,FAC,FAC,UPL,FAC,FAC,FACU,FAC,FACU,FAC,,Slender Amaranth
Amaranthus watsonii,,FACW,,,,,,,,,Watson's Amaranth
Amauropelta globulifera,,,,,,FACU,,,,,Globular Hawaii Little-Shield Fern
Amblyopappus pusillus,,FACW,,,,,,,,,Dwarf Coastweed
Ambrosia artemisiifolia,FACU,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Annual Ragweed
Ambrosia grayi,,,,,FAC,,,,FAC,,Woolly-Leaf Burr-Ragweed
Ambrosia monogyra,,UPL,,,FACU,,,,UPL,,Needle-Leaf Burrobush
Ambrosia psilostachya,FAC,FACU,,FAC,FACU,,FACU,FAC,FACU,,Perennial Ragweed
Ambrosia pumila,,FACU,,,,,,,,,Dwarf Burr-Ragweed
Ambrosia trifida,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,FAC,Great Ragweed
Amelanchier alnifolia,,FACU,,,FACU,,FACU,FACU,FACU,UPL,Saskatoon Service-Berry
Amelanchier arborea,FACU,FACU,,FAC,FACU,,FACU,FACU,,,Downy Service-Berry
Amelanchier bartramiana,,,,FAC,,,,FAC,,,Oblong-Fruit Service-Berry
Amelanchier canadensis,FAC,,,FAC,,,,FAC,,,Canadian Service-Berry
Amelanchier cusickii,,FACU,,,,,,,FACU,,Cusick's Service-Berry
Amelanchier intermedia,FACW,,,FACW,FACW,,FACW,FACW,,,Intermediate Service-Berry
Amelanchier nantucketensis,FACU,,,FACU,,,,FACU,,,Nantucket Service-Berry
Amelanchier spicata,FACU,,,FACU,FACU,,FACU,FACU,,,Running Service-Berry
Amelanchier utahensis,,FACU,,,FAC,,,,UPL,,Utah Service-Berry
Amianthium muscitoxicum,FAC,,,FAC,,,FAC,FAC,,,Flypoison
Ammannia auriculata,OBL,OBL,OBL,OBL,OBL,,OBL,,OBL,,Eared Redstem
Ammannia baccifera,,,FACW,,,,,,,,Monarch Redstem
Ammannia coccinea,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,,Valley Redstem
Ammannia latifolia,OBL,,OBL,OBL,OBL,,,OBL,,,Pink Redstem
Ammannia robusta,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Grand Redstem
Ammophila arenaria,FACU,FACU,,,,FACU,FACU,FACU,FACU,,European Beach Grass
Ammophila breviligulata,UPL,FACU,,FACU,,,UPL,UPL,UPL,,American Beach Grass
Ammoselinum butleri,FAC,,,FAC,FAC,,FAC,,,,Butler's Sand-Parsley
Amorpha californica,,FAC,,,,,,,FACU,,California Indigo-Bush
Amorpha confusa,FACU,,,,,,,,,,Carolina Indigo-Bush
Amorpha fruticosa,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,False Indigo-Bush
Amorpha georgiana,FACW,,,FACW,,,,,,,Georgia Indigo-Bush
Amorpha herbacea,FAC,,,FAC,,,,,,,Cluster-Spike Indigo-Bush
Amorpha nana,,FACU,,,UPL,,FACU,FACU,FACU,,Fragrant Indigo-Bush
Amorpha nitens,FAC,,,FAC,,,FACW,,,,Shining Indigo-Bush
Amorpha paniculata,FACW,,,FACW,FACW,,,,,,Panicled Indigo-Bush
Amorpha roemeriana,FACU,,,,FACU,,,,,,Roemer's Indigo-Bush
Ampelaster carolinianus,OBL,,,FACW,,,,,,,Climbing-Aster
Ampelopsis arborea,FAC,FAC,FAC,FACW,FAC,,FACW,FACW,FAC,,Peppervine
Ampelopsis cordata,FAC,FAC,,FAC,FAC,,FAC,FAC,,,Heart-Leaf Peppervine
Amphicarpaea bracteata,FAC,FACW,,FAC,FACU,,FAC,FAC,FACU,,American Hog-Peanut
Amphicarpum amphicarpon,FACW,,,FACW,,,,FACW,,,Blue Maiden-Cane
Amphicarpum muehlenbergianum,FACW,,,FACW,,,,,,,Perennial Goober Grass
Amphitecna latifolia,FACU,,FAC,,,,,,,,Black-Calabash
Amsinckia spectabilis,,FACU,,,,,FACU,FACU,FACU,,Woolly-Breeches
Amsonia ludoviciana,FAC,,,FAC,,,,,,,Louisiana Bluestar
Amsonia rigida,FACW,,,,,,,,,,Stiff Bluestar
Amsonia tabernaemontana,FACW,,,FAC,FACW,,FACW,FACW,,,Eastern Bluestar
Amyris elemifera,FAC,,UPL,,,,,,,,Smooth Torchwood
Anacardium occidentale,,,FACU,,,,,,,,Cashewnut
Anaphalis margaritacea,UPL,FACU,,UPL,FACU,,FACU,FACU,FACU,UPL,Pearly-Everlasting
Andira inermis,FAC,,FAC,,,,,,,,Cabbagebark-Tree
Andromeda polifolia,,OBL,,OBL,OBL,,OBL,OBL,OBL,FACW,Bog-Rosemary
Andropogon arctatus,FAC,,,,,,,,,,Pinewoods Bluestem
Andropogon bicornis,FAC,,FAC,,,FAC,,,,,Barbas-de-Indio
Andropogon brachystachyus,FAC,,,,,,,,,,Short-Spike Bluestem
Andropogon capillipes,FAC,,,FACU,,,,,,,Chalky Bluestem
Andropogon floridanus,FACU,,,,,,,,,,Florida Bluestem
Andropogon gerardii,FAC,FACU,,FAC,FACU,,FAC,FACU,FACU,,Big Bluestem
Andropogon glaucopsis,FACW,,,FACW,,,,,,,Coastal Bluestem
Andropogon glomeratus,FACW,FACW,FAC,FACW,FACW,FAC,FACW,FACW,FACW,,Bushy Bluestem
Andropogon gracilis,FAC,,UPL,,,,,,,,Wiry Bluestem
Andropogon gyrans,FACU,,,FACU,FACU,,FACU,,,,Elliott's Bluestem
Andropogon hirsutior,FACW,,,FACW,FACW,,,FACW,,,_?_
Andropogon leucostachyus,,,FAC,,,,,,,,Matojillo
Andropogon longiberbis,FAC,,,,,,,,,,Long-Beard Bluestem
Andropogon mohrii,FACW,,,FACW,,,,,,,Mohr's Bluestem
Andropogon ternarius,FACU,,,FACU,FACU,,FACU,,,,Split-Beard Bluestem
Andropogon virginicus,FAC,FAC,FAC,FACU,FACU,FACU,FACU,FACU,FAC,,Broom-Sedge
Androsace chamaejasme,,FACU,,,FACU,,,,FACU,FACU,Sweet-Flower Rock-Jasmine
Androsace filiformis,,FACW,,,,,,,FACW,,Slender-Stem Rock-Jasmine
Androsace occidentalis,FACU,FACU,,FACU,FACU,,FACU,UPL,FACU,,Western Rock-Jasmine
Androsace septentrionalis,,FACU,,,FACU,,,FAC,FACU,UPL,Pygmy-Flower Rock-Jasmine
Anemone canadensis,FAC,FAC,,FACW,FACW,,FACW,FACW,FAC,,Round-Leaf Thimbleweed
Anemone hupehensis,,,,,,FAC,,,,,Japanese Thimbleweed
Anemone narcissiflora,,FAC,,,FAC,,,,FAC,FACU,Narcissus-Flower Thimbleweed
Anemone oregana,,FACU,,,,,,,FACU,,Blue Windflower
Anemone parviflora,,FACW,,,FACU,,,,FACW,FACU,Small-Flower Thimbleweed
Anemone piperi,,FACU,,,,,,,FACU,,Piper's Windflower
Anemone quinquefolia,FACU,,,FACU,FAC,,FAC,FACU,,,Nightcaps
